user_id,item_id,rating,timestamp
890,323,2.7,2024-01-01 00:00:00
140,382,3.5,2024-01-01 01:00:00
886,395,5.0,2024-01-01 02:00:00
917,277,5.0,2024-01-01 03:00:00
117,403,4.3,2024-01-01 04:00:00
276,81,3.5,2024-01-01 05:00:00
725,128,4.8,2024-01-01 06:00:00
219,285,5.0,2024-01-01 07:00:00
904,381,3.6,2024-01-01 08:00:00
25,352,2.5,2024-01-01 09:00:00
520,279,4.4,2024-01-01 10:00:00
782,269,4.9,2024-01-01 11:00:00
9,291,4.6,2024-01-01 12:00:00
983,452,5.0,2024-01-01 13:00:00
377,202,5.0,2024-01-01 14:00:00
632,23,3.7,2024-01-01 15:00:00
636,443,4.2,2024-01-01 16:00:00
681,350,3.5,2024-01-01 17:00:00
583,310,3.0,2024-01-01 18:00:00
151,460,3.0,2024-01-01 19:00:00
719,207,4.7,2024-01-01 20:00:00
48,279,4.3,2024-01-01 21:00:00
153,204,4.9,2024-01-01 22:00:00
858,151,5.0,2024-01-01 23:00:00
292,437,4.5,2024-01-02 00:00:00
579,25,3.2,2024-01-02 01:00:00
49,193,5.0,2024-01-02 02:00:00
663,335,3.2,2024-01-02 03:00:00
530,421,5.0,2024-01-02 04:00:00
611,237,2.0,2024-01-02 05:00:00
59,320,3.5,2024-01-02 06:00:00
166,496,4.6,2024-01-02 07:00:00
201,74,5.0,2024-01-02 08:00:00
856,434,3.3,2024-01-02 09:00:00
145,162,3.1,2024-01-02 10:00:00
914,298,4.1,2024-01-02 11:00:00
675,28,5.0,2024-01-02 12:00:00
969,164,2.5,2024-01-02 13:00:00
992,336,3.7,2024-01-02 14:00:00
438,185,4.3,2024-01-02 15:00:00
241,53,3.2,2024-01-02 16:00:00
580,294,3.2,2024-01-02 17:00:00
686,41,3.8,2024-01-02 18:00:00
560,411,4.3,2024-01-02 19:00:00
482,284,3.8,2024-01-02 20:00:00
107,426,5.0,2024-01-02 21:00:00
225,386,4.6,2024-01-02 22:00:00
672,499,4.4,2024-01-02 23:00:00
630,137,5.0,2024-01-03 00:00:00
660,186,4.4,2024-01-03 01:00:00
976,489,3.6,2024-01-03 02:00:00
661,397,3.7,2024-01-03 03:00:00
431,203,2.9,2024-01-03 04:00:00
804,430,5.0,2024-01-03 05:00:00
654,41,4.9,2024-01-03 06:00:00
418,349,1.4,2024-01-03 07:00:00
987,415,5.0,2024-01-03 08:00:00
454,287,2.5,2024-01-03 09:00:00
159,425,4.5,2024-01-03 10:00:00
522,415,1.8,2024-01-03 11:00:00
649,25,3.6,2024-01-03 12:00:00
968,370,5.0,2024-01-03 13:00:00
589,384,5.0,2024-01-03 14:00:00
76,55,4.3,2024-01-03 15:00:00
508,252,4.8,2024-01-03 16:00:00
440,121,2.6,2024-01-03 17:00:00
253,105,4.5,2024-01-03 18:00:00
920,129,4.9,2024-01-03 19:00:00
769,336,5.0,2024-01-03 20:00:00
319,157,3.4,2024-01-03 21:00:00
